actor_1_name,actor_2_name,actor_1_facebook_likes,actor_2_facebook_likes
CCH Pounder,Joel David Moore,1000.0,936.0
Johnny Depp,Orlando Bloom,40000.0,5000.0
Christoph Waltz,Rory Kinnear,11000.0,393.0
Tom Hardy,Christian Bale,27000.0,23000.0
Doug Walker,Rob Walker,131.0,12.0
Daryl Sabara,Samantha Morton,640.0,632.0
J.K. Simmons,James Franco,24000.0,11000.0
Brad Garrett,Donna Murphy,799.0,553.0
Chris Hemsworth,Robert Downey Jr.,26000.0,21000.0
Alan Rickman,Daniel Radcliffe,25000.0,11000.0
Henry Cavill,Lauren Cohan,15000.0,4000.0
Kevin Spacey,Marlon Brando,18000.0,10000.0
Giancarlo Giannini,Mathieu Amalric,451.0,412.0
Johnny Depp,Orlando Bloom,40000.0,5000.0
Johnny Depp,Ruth Wilson,40000.0,2000.0
Henry Cavill,Christopher Meloni,15000.0,3000.0
Peter Dinklage,Pierfrancesco Favino,22000.0,216.0
Chris Hemsworth,Robert Downey Jr.,26000.0,21000.0
Johnny Depp,Sam Claflin,40000.0,11000.0
Will Smith,Michael Stuhlbarg,10000.0,816.0
Aidan Turner,Adam Brown,5000.0,972.0
Emma Stone,Andrew Garfield,15000.0,10000.0
Mark Addy,William Hurt,891.0,882.0
Aidan Turner,Adam Brown,5000.0,972.0
Christopher Lee,Eva Green,16000.0,6000.0
Naomi Watts,Thomas Kretschmann,6000.0,919.0
Leonardo DiCaprio,Kate Winslet,29000.0,14000.0
Robert Downey Jr.,Scarlett Johansson,21000.0,19000.0
Liam Neeson,Alexander Skarsgård,14000.0,10000.0
Bryce Dallas Howard,Judy Greer,3000.0,2000.0
Albert Finney,Helen McCrory,883.0,563.0
J.K. Simmons,James Franco,24000.0,11000.0
Robert Downey Jr.,Jon Favreau,21000.0,4000.0
Johnny Depp,Alan Rickman,40000.0,25000.0
Hugh Jackman,Kelsey Grammer,20000.0,808.0
Steve Buscemi,Tyler Labine,12000.0,779.0
Glenn Morshower,Kevin Dunn,894.0,581.0
