director_name,director_facebook_likes
James Cameron,0.0
Gore Verbinski,563.0
Sam Mendes,0.0
Christopher Nolan,22000.0
Doug Walker,131.0
Andrew Stanton,475.0
Sam Raimi,0.0
Nathan Greno,15.0
Joss Whedon,0.0
David Yates,282.0
Zack Snyder,0.0
Bryan Singer,0.0
Marc Forster,395.0
Gore Verbinski,563.0
Gore Verbinski,563.0
Zack Snyder,0.0
Andrew Adamson,80.0
Joss Whedon,0.0
Rob Marshall,252.0
Barry Sonnenfeld,188.0
Peter Jackson,0.0
Marc Webb,464.0
Ridley Scott,0.0
Peter Jackson,0.0
Chris Weitz,129.0
Peter Jackson,0.0
James Cameron,0.0
Anthony Russo,94.0
Peter Berg,532.0
Colin Trevorrow,365.0
Sam Mendes,0.0
Sam Raimi,0.0
Shane Black,1000.0
Tim Burton,13000.0
Brett Ratner,420.0
Dan Scanlon,37.0
Michael Bay,0.0
Michael Bay,0.0
Sam Raimi,0.0
Marc Webb,464.0
Joseph Kosinski,364.0
John Lasseter,487.0
Martin Campbell,258.0
Lee Unkrich,125.0
McG,368.0
James Wan,0.0
Marc Forster,395.0
Bryan Singer,0.0
J.J. Abrams,14000.0
Bryan Singer,0.0
Baz Luhrmann,1000.0
Mike Newell,179.0
Guillermo del Toro,0.0
Michael Bay,0.0
Steven Spielberg,14000.0
Peter Sohn,113.0
Mark Andrews,56.0
Justin Lin,681.0
Andrew Stanton,475.0
Brett Ratner,420.0
Roland Emmerich,776.0
Robert Zemeckis,0.0
Lana Wachowski,0.0
David Yates,282.0
Andrew Adamson,80.0
Bryan Singer,0.0
Christopher Nolan,22000.0
Pete Docter,0.0
Rob Letterman,11.0
Jon Favreau,4000.0
Martin Scorsese,17000.0
Barry Sonnenfeld,188.0
Rob Cohen,357.0
David Ayer,452.0
Tom Shadyac,293.0
Doug Liman,218.0
Kevin Reynolds,58.0
Stephen Sommers,208.0
Pete Docter,0.0
Jon Favreau,4000.0
Jon Favreau,4000.0
Rupert Sanders,274.0
Robert Stromberg,171.0
Matt Reeves,198.0
Roland Joffé,596.0
Carl Rinsch,47.0
Anthony Russo,94.0
Mike Mitchell,31.0
Brad Bird,663.0
Don Hall,38.0
Rich Moore,66.0
Robert Zemeckis,0.0
Roland Emmerich,776.0
Dean DeBlois,255.0
Jonathan Mostow,84.0
James Gunn,571.0
Christopher Nolan,22000.0
Christopher Nolan,22000.0
Hideaki Anno,28.0
Peter Jackson,0.0
Rob Cohen,357.0
David Fincher,21000.0
Matthew Vaughn,905.0
Francis Lawrence,508.0
Jon Turteltaub,226.0
Wolfgang Petersen,249.0
James Bobin,33.0
Chris Miller,50.0
Duncan Jones,0.0
Alan Taylor,230.0
Michael Apted,150.0
Michael Bay,0.0
Michael Bay,0.0
Oliver Stone,0.0
David Yates,282.0
Mike Newell,179.0
Peter Berg,532.0
Francis Lawrence,508.0
Tim Burton,13000.0
Brad Bird,663.0
Christopher Nolan,22000.0
Eric Darnell,35.0
Shawn Levy,189.0
Gavin Hood,151.0
Lana Wachowski,0.0
Chris Buck,69.0
Lana Wachowski,0.0
Alan Taylor,230.0
George Miller,750.0
Ron Howard,2000.0
Kenneth Branagh,0.0
Byron Howard,59.0
Hoyt Yeatman,12.0
Jonathan Liebesman,473.0
Tim Burton,13000.0
Christopher McQuarrie,188.0
Joe Johnston,394.0
David Yates,282.0
Steve Hickner,58.0
Jennifer Yuh Nelson,90.0
M. Night Shyamalan,0.0
J.J. Abrams,14000.0
Roland Emmerich,776.0
Simon Wells,25.0
David Bowers,42.0
Joe Wright,456.0
Rob Minkoff,50.0
Wolfgang Petersen,249.0
Eric Darnell,35.0
Lee Tamahori,93.0
Paul Feig,176.0
Michael Bay,0.0
Barry Sonnenfeld,188.0
Robert Zemeckis,0.0
Alessandro Carloni,5.0
Brad Bird,663.0
Peter Ramsey,52.0
Dean Parisot,23.0
Edward Zwick,380.0
Ridley Scott,0.0
J.J. Abrams,14000.0
Sam Raimi,0.0
Dean DeBlois,255.0
Alex Proyas,295.0
Rob Cohen,357.0
Zack Snyder,0.0
Richard Donner,503.0
Ang Lee,0.0
Jon M. Chu,209.0
Breck Eisner,42.0
Hironobu Sakaguchi,6.0
Joe Johnston,394.0
Michael Apted,150.0
Peter Weir,608.0
Bill Condon,386.0
George Miller,750.0
Louis Leterrier,255.0
,
Steven Spielberg,14000.0
Alejandro G. Iñárritu,0.0
David Soren,13.0
Gore Verbinski,563.0
Eric Darnell,35.0
Paul Greengrass,521.0
Mark Osborne,54.0
Peyton Reed,235.0
Francis Lawrence,508.0
Bill Condon,386.0
Tim Johnson,12.0
Steven Spielberg,14000.0
Michael Bay,0.0
Chris Miller,50.0
Phillip Noyce,176.0
Darren Aronofsky,0.0
Steven Spielberg,14000.0
Alfonso Cuarón,0.0
Baz Luhrmann,1000.0
M. Night Shyamalan,0.0
Eric Leighton,0.0
Matt Birch,0.0
Shawn Levy,189.0
Tom McGrath,96.0
Chris Columbus,0.0
Robert Schwentke,124.0
Hideaki Anno,28.0
Gore Verbinski,563.0
Matt Birch,0.0
Francis Lawrence,508.0
Ron Howard,2000.0
Carlos Saldanha,107.0
Bryan Singer,0.0
Justin Lin,681.0
Guy Ritchie,0.0
Louis Leterrier,255.0
Paul Verhoeven,719.0
John McTiernan,323.0
Tony Gilroy,209.0
Joel Schumacher,541.0
Ron Howard,2000.0
Roland Emmerich,776.0
John Woo,610.0
Wolfgang Petersen,249.0
Tim Story,167.0
Ang Lee,0.0
Mark Steven Johnson,160.0
Paul Greengrass,521.0
McG,368.0
Ridley Scott,0.0
Rob Minkoff,50.0
